Algorithm,Precision,Recall,Fmeasure_Score,hamming_loss_avg,Accuracy_Score,Train/Test_Size,project
BERT,0.5054229935,0.3595679012,0.4201983769,0.3162813576,0.6837186424,0.4,audacity
BERT,0.4682352941,0.6141975309,0.5313751669,0.3453025086,0.6546974914,0.4,audacity
BERT,0.4587852495,0.6527777778,0.5388535032,0.3561239547,0.6438760453,0.4,audacity
BERT,0.3946188341,0.5432098765,0.4571428571,0.4112149533,0.5887850467,0.4,audacity
BERT,0.353909465,0.5308641975,0.424691358,0.4584358091,0.5415641909,0.4,audacity
BERT,0.3860830527,0.5308641975,0.4470435348,0.418593212,0.581406788,0.4,audacity
BERT,0.3079754601,0.387345679,0.3431305537,0.4727004427,0.5272995573,0.4,audacity
BERT,0.373015873,0.362654321,0.3677621283,0.3974422036,0.6025577964,0.4,audacity
BERT,0.4392935982,0.6141975309,0.5122265122,0.3728480079,0.6271519921,0.4,audacity
BERT,0.3890489914,0.625,0.4795737123,0.4323659616,0.5676340384,0.4,audacity
BERT,0.4004884005,0.5061728395,0.4471710975,0.3989178554,0.6010821446,0.3,audacity
BERT,0.3237271854,0.5200617284,0.3990526939,0.4992621741,0.5007378259,0.3,audacity
BERT,0.3961625282,0.5416666667,0.4576271186,0.4092474176,0.5907525824,0.3,audacity
BERT,0.3731019523,0.5308641975,0.4382165605,0.4338416134,0.5661583866,0.3,audacity
BERT,0.3552036199,0.4845679012,0.409921671,0.4446630595,0.5553369405,0.3,audacity
BERT,0.3433678269,0.5632716049,0.4266510812,0.482538121,0.517461879,0.3,audacity
BERT,0.4038461538,0.6805555556,0.5068965517,0.4220363994,0.5779636006,0.3,audacity
BERT,0.3946015424,0.4737654321,0.4305750351,0.3994097393,0.6005902607,0.3,audacity
BERT,0.3824485374,0.5447530864,0.4493952896,0.4254795868,0.5745204132,0.3,audacity
BERT,0.3194980695,0.5108024691,0.393111639,0.5027053615,0.4972946385,0.3,audacity
BERT,0.2755651238,0.3950617284,0.3246670894,0.5238563699,0.4761436301,0.2,audacity
BERT,0.4099099099,0.5617283951,0.4739583333,0.3974422036,0.6025577964,0.2,audacity
BERT,0.2718676123,0.3549382716,0.3078982597,0.5086079685,0.4913920315,0.2,audacity
BERT,0.3532536521,0.4104938272,0.3797287652,0.4274471225,0.5725528775,0.2,audacity
BERT,0.3076923077,0.487654321,0.3773134328,0.5130349238,0.4869650762,0.2,audacity
BERT,0.3452631579,0.5061728395,0.4105131414,0.4633546483,0.5366453517,0.2,audacity
BERT,0.3578595318,0.4953703704,0.4155339806,0.4441711756,0.5558288244,0.2,audacity
BERT,0.3780260708,0.6265432099,0.4715447154,0.447614363,0.552385637,0.2,audacity
BERT,0.3741258741,0.4953703704,0.4262948207,0.4249877029,0.5750122971,0.2,audacity
BERT,0.4006734007,0.3672839506,0.383252818,0.3767830792,0.6232169208,0.2,audacity
BERT,0.749028749,0.6352553542,0.6874665716,0.1971434998,0.8028565002,0.4,jabRef_2
BERT,0.7863501484,0.6112026359,0.6878012607,0.1893837157,0.8106162843,0.4,jabRef_2
BERT,0.7867740568,0.6115321252,0.688172043,0.1891587944,0.8108412056,0.4,jabRef_2
BERT,0.7819767442,0.6204283361,0.6918978505,0.1885964912,0.8114035088,0.4,jabRef_2
BERT,0.7889790688,0.6085667216,0.6871279762,0.1891587944,0.8108412056,0.4,jabRef_2
BERT,0.7883959044,0.6088962109,0.6871165644,0.1892712551,0.8107287449,0.4,jabRef_2
BERT,0.7896995708,0.6062602965,0.6859273066,0.1894961763,0.8105038237,0.4,jabRef_2
BERT,0.7314165498,0.6873146623,0.7086801427,0.1928699955,0.8071300045,0.4,jabRef_2
BERT,0.7407140281,0.6767710049,0.7073002755,0.1911830859,0.8088169141,0.4,jabRef_2
BERT,0.7354723708,0.6797364086,0.7065068493,0.1927575349,0.8072424651,0.4,jabRef_2
BERT,0.7893162393,0.6085667216,0.687255814,0.1890463338,0.8109536662,0.3,jabRef_2
BERT,0.7893162393,0.6085667216,0.687255814,0.1890463338,0.8109536662,0.3,jabRef_2
BERT,0.7891591976,0.6092257002,0.6876162142,0.1889338731,0.8110661269,0.3,jabRef_2
BERT,0.7374545455,0.6682042834,0.7011235955,0.1944444444,0.8055555556,0.3,jabRef_2
BERT,0.7893162393,0.6085667216,0.687255814,0.1890463338,0.8109536662,0.3,jabRef_2
BERT,0.7865025467,0.6105436573,0.687442033,0.1894961763,0.8105038237,0.3,jabRef_2
BERT,0.7893162393,0.6085667216,0.687255814,0.1890463338,0.8109536662,0.3,jabRef_2
BERT,0.8142994242,0.5591433278,0.6630201211,0.1939946019,0.8060053981,0.3,jabRef_2
BERT,0.7691690084,0.6313014827,0.6934491495,0.1905083221,0.8094916779,0.3,jabRef_2
BERT,0.787595582,0.6108731466,0.6880682873,0.1890463338,0.8109536662,0.3,jabRef_2
BERT,0.7874787053,0.6092257002,0.6869775218,0.1894961763,0.8105038237,0.2,jabRef_2
BERT,0.7893162393,0.6085667216,0.687255814,0.1890463338,0.8109536662,0.2,jabRef_2
BERT,0.7890893471,0.6052718287,0.6850643297,0.1899460189,0.8100539811,0.2,jabRef_2
BERT,0.7876857749,0.6112026359,0.6883116883,0.1889338731,0.8110661269,0.2,jabRef_2
BERT,0.7841726619,0.6105436573,0.6865505743,0.1902834008,0.8097165992,0.2,jabRef_2
BERT,0.7858347386,0.6141680395,0.6894766044,0.1888214125,0.8111785875,0.2,jabRef_2
BERT,0.7877237852,0.6088962109,0.6868611782,0.1894961763,0.8105038237,0.2,jabRef_2
BERT,0.7889790688,0.6085667216,0.6871279762,0.1891587944,0.8108412056,0.2,jabRef_2
BERT,0.7880085653,0.6062602965,0.6852886406,0.1900584795,0.8099415205,0.2,jabRef_2
BERT,0.7781862745,0.6276771005,0.6948750684,0.1881466487,0.8118533513,0.2,jabRef_2
BERT,0.5961049958,0.6342342342,0.6145787866,0.1929632867,0.8070367133,0.4,powertoys
BERT,0.5849324805,0.7414414414,0.6539531188,0.1903409091,0.8096590909,0.4,powertoys
BERT,0.6239151398,0.5828828829,0.6027014439,0.1864073427,0.8135926573,0.4,powertoys
BERT,0.5476878613,0.6828828829,0.6078588613,0.2137237762,0.7862762238,0.4,powertoys
BERT,0.6240530303,0.5936936937,0.6084949215,0.1853146853,0.8146853147,0.4,powertoys
BERT,0.5856929955,0.7081081081,0.6411092985,0.1923076923,0.8076923077,0.4,powertoys
BERT,0.5250569476,0.8306306306,0.6434054431,0.2233391608,0.7766608392,0.4,powertoys
BERT,0.6239316239,0.5918918919,0.6074895978,0.1855332168,0.8144667832,0.4,powertoys
BERT,0.6240530303,0.5936936937,0.6084949215,0.1853146853,0.8146853147,0.4,powertoys
BERT,0.6252336449,0.6027027027,0.6137614679,0.1840034965,0.8159965035,0.4,powertoys
BERT,0.651421508,0.4747747748,0.5492443981,0.1890297203,0.8109702797,0.3,powertoys
BERT,0.6040268456,0.5675675676,0.5852299118,0.1951486014,0.8048513986,0.3,powertoys
BERT,0.5836298932,0.7387387387,0.6520874751,0.191215035,0.808784965,0.3,powertoys
BERT,0.6447028424,0.4495495495,0.5297239915,0.1936188811,0.8063811189,0.3,powertoys
BERT,0.6240530303,0.5936936937,0.6084949215,0.1853146853,0.8146853147,0.3,powertoys
BERT,0.6285714286,0.5747747748,0.6004705882,0.1855332168,0.8144667832,0.3,powertoys
BERT,0.6242661448,0.5747747748,0.5984990619,0.1870629371,0.8129370629,0.3,powertoys
BERT,0.6241860465,0.6045045045,0.614187643,0.184222028,0.815777972,0.3,powertoys
BERT,0.6146118721,0.6063063063,0.610430839,0.1877185315,0.8122814685,0.3,powertoys
BERT,0.6240530303,0.5936936937,0.6084949215,0.1853146853,0.8146853147,0.3,powertoys
BERT,0.5991489362,0.6342342342,0.6161925602,0.1916520979,0.8083479021,0.2,powertoys
BERT,0.5826023392,0.718018018,0.6432606941,0.1931818182,0.8068181818,0.2,powertoys
BERT,0.6277939747,0.581981982,0.6040205704,0.1850961538,0.8149038462,0.2,powertoys
BERT,0.6088129496,0.6099099099,0.6093609361,0.1896853147,0.8103146853,0.2,powertoys
BERT,0.59375,0.5648648649,0.5789473684,0.1993006993,0.8006993007,0.2,powertoys
BERT,0.6589595376,0.4108108108,0.5061043285,0.194493007,0.805506993,0.2,powertoys
BERT,0.5987701768,0.7018018018,0.6462048942,0.1864073427,0.8135926573,0.2,powertoys
BERT,0.5845170455,0.7414414414,0.6536934075,0.1905594406,0.8094405594,0.2,powertoys
BERT,0.6247706422,0.6135135135,0.6190909091,0.1831293706,0.8168706294,0.2,powertoys
BERT,0.5795620438,0.7153153153,0.6403225806,0.1949300699,0.8050699301,0.2,powertoys
BERT,0.6110080396,0.6337395767,0.6221662469,0.2976190476,0.7023809524,0.4,rmca
BERT,0.5856416054,0.6645285439,0.6225961538,0.3115079365,0.6884920635,0.4,rmca
BERT,0.6523101018,0.5343168698,0.5874471086,0.2901785714,0.7098214286,0.4,rmca
BERT,0.6074270557,0.5875561257,0.5973263776,0.3062996032,0.6937003968,0.4,rmca
BERT,0.6195804196,0.5683130212,0.5928404149,0.3018353175,0.6981646825,0.4,rmca
BERT,0.6426116838,0.5997434253,0.6204379562,0.2837301587,0.7162698413,0.4,rmca
BERT,0.7090336134,0.4329698525,0.5376344086,0.2879464286,0.7120535714,0.4,rmca
BERT,0.6157469717,0.5869146889,0.6009852217,0.3013392857,0.6986607143,0.4,rmca
BERT,0.5987149533,0.6574727389,0.6267196576,0.302827381,0.697172619,0.4,rmca
BERT,0.6030534351,0.5574085953,0.5793333333,0.3129960317,0.6870039683,0.4,rmca
BERT,0.6171465969,0.6048749198,0.6109491416,0.2978670635,0.7021329365,0.3,rmca
BERT,0.6146341463,0.5657472739,0.5891783567,0.3050595238,0.6949404762,0.3,rmca
BERT,0.5354872881,0.6484926235,0.5865970409,0.353422619,0.646577381,0.3,rmca
BERT,0.6520198441,0.590121873,0.6195286195,0.2802579365,0.7197420635,0.3,rmca
